Title,Artist,Year,ImageURL,Styles,Genres,Media,Dimensions,Description,PaintingURL,image_urls,images
Soldier head,Istvan Nagy,1915,https://uploads8.wikiart.org/images/istvan-nagy/soldier-head-1915.jpg,Post-Impressionism,portrait,,,,https://www.wikiart.org/en/istvan-nagy/soldier-head-1915,https://uploads8.wikiart.org/images/istvan-nagy/soldier-head-1915.jpg,"[{'url': 'https://uploads8.wikiart.org/images/istvan-nagy/soldier-head-1915.jpg', 'path': 'full/c491bfb26d73fb226a0cfafc6ca047816dcec2a9.jpg', 'checksum': 'ba438b2c85692c2ed121d3173147ea3e', 'status': 'downloaded'}]"
My Muse (Portrait of the Wife),Oleksa Novakivskyi,,https://uploads0.wikiart.org/00292/images/oleksa-novakivskiy/art-lviv-online-oleksa-novakivskij-moia-muzaportret-druzhyny.jpg,Post-Impressionism,portrait,oil,,,https://www.wikiart.org/en/oleksa-novakivskiy/moya-muza-portret-druzhini,https://uploads0.wikiart.org/00292/images/oleksa-novakivskiy/art-lviv-online-oleksa-novakivskij-moia-muzaportret-druzhyny.jpg,"[{'url': 'https://uploads0.wikiart.org/00292/images/oleksa-novakivskiy/art-lviv-online-oleksa-novakivskij-moia-muzaportret-druzhyny.jpg', 'path': 'full/afdeeed36a0cc4e61c2200653b65b9e9f8abb104.jpg', 'checksum': 'ba603fdc3d83df071c5aa624f2dcc10b', 'status': 'downloaded'}]"
Self-portrait with the wife,Oleksa Novakivskyi,,https://uploads7.wikiart.org/00292/images/oleksa-novakivskiy/art-lviv-online-oleksa-novakivskij-avtoportret-z-druzhynoi.jpg,Post-Impressionism; Art Nouveau (Modern),self-portrait; portrait,oil,,,https://www.wikiart.org/en/oleksa-novakivskiy/avtoportret-z-druzhinoyu,https://uploads7.wikiart.org/00292/images/oleksa-novakivskiy/art-lviv-online-oleksa-novakivskij-avtoportret-z-druzhynoi.jpg,"[{'url': 'https://uploads7.wikiart.org/00292/images/oleksa-novakivskiy/art-lviv-online-oleksa-novakivskij-avtoportret-z-druzhynoi.jpg', 'path': 'full/3bf02ea11ad223acaf41abd524b81f4ce142c5b4.jpg', 'checksum': '200cae467ff5e60a5714d73aef868ba8', 'status': 'downloaded'}]"
Archers,Alice Bailly,1911,https://uploads0.wikiart.org/00145/images/alice-bailly/display-image-18.jpg!Large.jpg,Post-Impressionism; Cubism,nude painting (nu),oil; canvas,,,https://www.wikiart.org/en/alice-bailly/archers-1911,https://uploads0.wikiart.org/00145/images/alice-bailly/display-image-18.jpg!Large.jpg,"[{'url': 'https://uploads0.wikiart.org/00145/images/alice-bailly/display-image-18.jpg!Large.jpg', 'path': 'full/0bedefbdfa7070bf2e8a000ffce9f4c92f941939.jpg', 'checksum': '1f352b93380f510fdbf47be7f5d6597b', 'status': 'downloaded'}]"
Self-Portrait,Theodor Pallady,,https://uploads8.wikiart.org/images/theodor-pallady/self-portrait.jpg,Post-Impressionism,self-portrait,,,,https://www.wikiart.org/en/theodor-pallady/self-portrait,https://uploads8.wikiart.org/images/theodor-pallady/self-portrait.jpg,"[{'url': 'https://uploads8.wikiart.org/images/theodor-pallady/self-portrait.jpg', 'path': 'full/8472aa4343669f416d0bd3db0d477de400ec2697.jpg', 'checksum': 'a63c504f65c7cdd1f1c91baccde20b83', 'status': 'downloaded'}]"
Nude with Guitar,Theodor Pallady,,https://uploads3.wikiart.org/images/theodor-pallady/nude-with-guitar.jpg!Large.jpg,Post-Impressionism,nude painting (nu),,,,https://www.wikiart.org/en/theodor-pallady/nude-with-guitar,https://uploads3.wikiart.org/images/theodor-pallady/nude-with-guitar.jpg!Large.jpg,"[{'url': 'https://uploads3.wikiart.org/images/theodor-pallady/nude-with-guitar.jpg!Large.jpg', 'path': 'full/d11b9f3291cfe01e4004df686b98b3e818774d24.jpg', 'checksum': '12d756f7180b19f80773ff41fa460df9', 'status': 'downloaded'}]"
Reading Nude (Nu à la Lecture),Theodor Pallady,,https://uploads3.wikiart.org/images/theodor-pallady/reading-nude-nu-la-lecture.jpg,Post-Impressionism,nude painting (nu),,,,https://www.wikiart.org/en/theodor-pallady/reading-nude-nu-la-lecture,https://uploads3.wikiart.org/images/theodor-pallady/reading-nude-nu-la-lecture.jpg,"[{'url': 'https://uploads3.wikiart.org/images/theodor-pallady/reading-nude-nu-la-lecture.jpg', 'path': 'full/070d78f5f53a90bebfe7c7e7853204c275f9a0e3.jpg', 'checksum': '27aa1e1337b24322ddf9ebcef9771ba8', 'status': 'downloaded'}]"
Red Flowers,Theodor Pallady,,https://uploads7.wikiart.org/images/theodor-pallady/red-flowers.jpg!Large.jpg,Post-Impressionism,still life,,,,https://www.wikiart.org/en/theodor-pallady/red-flowers,https://uploads7.wikiart.org/images/theodor-pallady/red-flowers.jpg!Large.jpg,"[{'url': 'https://uploads7.wikiart.org/images/theodor-pallady/red-flowers.jpg!Large.jpg', 'path': 'full/58bd5540aa38aa8f91adee6114018bd47e3dbeb6.jpg', 'checksum': '0a7b465c4e17a116d5b98c9bbc910fda', 'status': 'downloaded'}]"
Poppy Flowers,Theodor Pallady,,https://uploads0.wikiart.org/images/theodor-pallady/poppy-flowers.jpg!Large.jpg,Post-Impressionism,still life,,,,https://www.wikiart.org/en/theodor-pallady/poppy-flowers,https://uploads0.wikiart.org/images/theodor-pallady/poppy-flowers.jpg!Large.jpg,"[{'url': 'https://uploads0.wikiart.org/images/theodor-pallady/poppy-flowers.jpg!Large.jpg', 'path': 'full/1bc5a1a26c5166bce17c52626c6796eb01d87286.jpg', 'checksum': '58f058552ce22a33ed19ac3c9a3a66da', 'status': 'downloaded'}]"
Still Life,Theodor Pallady,,https://uploads8.wikiart.org/images/theodor-pallady/still-life(1).jpg,Post-Impressionism,still life,,,,https://www.wikiart.org/en/theodor-pallady/still-life-1,https://uploads8.wikiart.org/images/theodor-pallady/still-life(1).jpg,"[{'url': 'https://uploads8.wikiart.org/images/theodor-pallady/still-life(1).jpg', 'path': 'full/186e9773392030bf48dbe176549a419a7a2b8d32.jpg', 'checksum': 'be26500306a09bf4c9c30f789007d93d', 'status': 'downloaded'}]"
Woman in Black,Theodor Pallady,,https://uploads0.wikiart.org/images/theodor-pallady/woman-in-black.jpg,Post-Impressionism,portrait,,,,https://www.wikiart.org/en/theodor-pallady/woman-in-black,https://uploads0.wikiart.org/images/theodor-pallady/woman-in-black.jpg,"[{'url': 'https://uploads0.wikiart.org/images/theodor-pallady/woman-in-black.jpg', 'path': 'full/5d0728c0d7049a22a4cbce4bd073cc308feda371.jpg', 'checksum': '099a0502de83e45efdbfb974a84d1bcc', 'status': 'downloaded'}]"
Yellow Flowers,Theodor Pallady,,https://uploads1.wikiart.org/images/theodor-pallady/yellow-flowers.jpg!Large.jpg,Post-Impressionism,still life,,,,https://www.wikiart.org/en/theodor-pallady/yellow-flowers,https://uploads1.wikiart.org/images/theodor-pallady/yellow-flowers.jpg!Large.jpg,"[{'url': 'https://uploads1.wikiart.org/images/theodor-pallady/yellow-flowers.jpg!Large.jpg', 'path': 'full/c6be54ff637909511d9060404d17505b2353608a.jpg', 'checksum': '15df8963dea0b98c4c44183cab335c34', 'status': 'downloaded'}]"
A Skidegate Beaver Pole,Emily Carr,,https://uploads0.wikiart.org/images/emily-carr/a-skidegate-beaver-pole-1946.jpg,Cubism; Post-Impressionism,landscape,,,,https://www.wikiart.org/en/emily-carr/a-skidegate-beaver-pole-1946,https://uploads0.wikiart.org/images/emily-carr/a-skidegate-beaver-pole-1946.jpg,"[{'url': 'https://uploads0.wikiart.org/images/emily-carr/a-skidegate-beaver-pole-1946.jpg', 'path': 'full/a544659da05923532ef88ec416f91bc0e59e4ba4.jpg', 'checksum': 'f434cfaf44c74964b0459e6f36504c7c', 'status': 'downloaded'}]"
Above the Trees,Emily Carr,,https://uploads1.wikiart.org/images/emily-carr/above-the-trees-1939.jpg,Post-Impressionism,landscape; cloudscape,,,,https://www.wikiart.org/en/emily-carr/above-the-trees-1939,https://uploads1.wikiart.org/images/emily-carr/above-the-trees-1939.jpg,"[{'url': 'https://uploads1.wikiart.org/images/emily-carr/above-the-trees-1939.jpg', 'path': 'full/df14c696c796c93392f721234f6819662610b719.jpg', 'checksum': '56b0205e7fa8397e28825dceefdbfa1d', 'status': 'downloaded'}]"
Clearing,Emily Carr,,https://uploads3.wikiart.org/images/emily-carr/clearing-1942.jpg,Post-Impressionism,landscape,,,,https://www.wikiart.org/en/emily-carr/clearing-1942,https://uploads3.wikiart.org/images/emily-carr/clearing-1942.jpg,"[{'url': 'https://uploads3.wikiart.org/images/emily-carr/clearing-1942.jpg', 'path': 'full/59c810dc9576e9af6b020fdfa2120986de990656.jpg', 'checksum': 'f60b50d294568668e9d19766b286a943', 'status': 'downloaded'}]"
